filepath,filesize,checksum,dataset
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-05-30__23-06-04(5).JPG,228166.0,3d697c39f8ef86f0ef785be4b4be5f6d5c0cc5d5d81a2c1fba05187a96f0f8f1,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-44-04(1).JPG,5296341.0,74a59d806f2ac3c29eaf61a4d8c215ab767bb91998889446e5ed81bedca4aacd,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-44-04(2).JPG,5296422.0,9bcd247efc33eee242ca15776fdaf1716256afa210e605d8d86015f35fe9ebc7,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-44-04(3).JPG,5288010.0,4230dc40595712512305451ed72eb9317a6a6e6d81620f15d9d9c664f747c1ca,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-44-05(4).JPG,5299054.0,8d6764f4fb9e5a7dd6f73e3271c595042ec6c1b6dbe06e24e85fd5b71363f698,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-44-05(5).JPG,5302826.0,13efe1fcddfe0d86e877dc8d14279021fc551443c98e05909174eb1068897b51,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-45-15(1).JPG,5307684.0,e2512d1bf315a0450738a0f223c2b0aed3f85bec472a9f5a83122841805f4e1b,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-45-15(2).JPG,5307280.0,b2e8ddef62451ae81baf5f046a264b525b926535e50e9c95a631d77a5369a9ac,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-45-16(3).JPG,5307220.0,81da9917ffba9aeea6ef4aba32dfd15f6d946ed305d1a71fd0feb59f2ad06cf1,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-45-16(4).JPG,5310205.0,f6fa8d3cded10140a82c6b224f06ca534156fdcb25ae898a059a2f6786a47199,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__14-45-16(5).JPG,5309914.0,30cdb8f800a771dcc44046449cf4a39fb2134ef68254ac5b640e9fb8f8d41092,wolf
/home/linus/Documents/FIT/semester_3/project_semester/wb_hnee/mj_23_24_wolf/01_Auslesung_Dez-2023__2023-06-04__21-22-37(1).JPG,4132189.0,1f6f51a86b6f510f3dc0c65c17165bf0f2cc924fe0f29f791597f347e20efe08,wolf
